Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL],order
P1,D1,P2,A6,10.0,5
P1,D1,P2,B6,10.0,5
P1,D1,P2,C6,10.0,5
P1,D1,P2,D6,10.0,5
P1,D1,P2,E6,10.0,5
P1,D1,P2,F6,10.0,5
P1,D1,P2,A7,10.0,5
P1,D1,P2,B7,10.0,5
P1,D1,P2,C7,10.0,5
P1,D1,P2,D7,10.0,5
P1,D1,P2,E7,10.0,5
P1,D1,P2,F7,10.0,5
P1,D1,P2,A8,10.0,5
P1,D1,P2,B8,10.0,5
P1,D1,P2,C8,10.0,5
P1,D1,P2,D8,10.0,5
P1,D1,P2,E8,10.0,5
P1,D1,P2,F8,10.0,5
P1,A2,P2,A1,10.196202586206896,5
P1,A2,P2,B1,10.196202586206896,5
P1,A2,P2,C1,10.196202586206896,5
P1,A2,P2,D1,10.572829896551724,5
P1,A2,P2,E1,10.572829896551724,5
P1,A2,P2,F1,10.572829896551724,5
P1,A2,P2,A2,7.986957965517241,5
P1,A2,P2,B2,7.986957965517241,5
P1,A2,P2,C2,7.986957965517241,5
P1,A2,P2,D2,13.229346413793104,5
P1,A2,P2,E2,13.229346413793104,5
P1,A2,P2,F2,13.229346413793104,5
P1,A2,P2,A3,13.229346379310346,5
P1,A2,P2,B3,13.229346379310346,5
P1,A2,P2,C3,13.229346379310346,5
P1,A2,P2,D3,13.229294344827588,5
P1,A2,P2,E3,13.229294344827588,5
P1,A2,P2,F3,13.229294344827588,5
P1,A2,P2,A4,13.833647000000003,5
P1,A2,P2,B4,13.833647000000003,5
P1,A2,P2,C4,13.833647000000003,5
P1,A2,P2,A5,23.559419379310345,5
P1,A2,P2,B5,23.559419379310345,5
P1,A2,P2,C5,23.559419379310345,5
P1,A2,P2,D5,23.511398310344827,5
P1,A2,P2,E5,23.511398310344827,5
P1,A2,P2,F5,23.511398310344827,5
P1,A2,P2,A6,16.705083275862066,5
P1,A2,P2,B6,16.705083275862066,5
P1,A2,P2,C6,16.705083275862066,5
P1,A2,P2,D6,24.503329655172415,5
P1,A2,P2,E6,24.503329655172415,5
P1,A2,P2,F6,24.503329655172415,5
P1,A2,P2,A7,23.523187413793107,5
P1,A2,P2,B7,23.523187413793107,5
P1,A2,P2,C7,23.523187413793107,5
P1,A2,P2,D7,27.44364868965517,5
P1,A2,P2,E7,27.44364868965517,5
P1,A2,P2,F7,27.44364868965517,5
P1,A2,P2,A8,24.991826137931035,5
P1,A2,P2,B8,24.991826137931035,5
P1,A2,P2,C8,24.991826137931035,5
P1,A2,P2,D8,10.889669034482758,5
P1,A2,P2,E8,10.889669034482758,5
P1,A2,P2,F8,10.889669034482758,5
P1,B2,P2,D4,11.224560219696968,5
P1,B2,P2,E4,11.224560219696968,5
P1,B2,P2,F4,11.224560219696968,5
P1,B2,P2,A5,9.54334309469697,5
P1,B2,P2,B5,9.54334309469697,5
P1,B2,P2,C5,9.54334309469697,5
P1,B2,P2,D5,9.890595621212121,5
P1,B2,P2,E5,9.890595621212121,5
P1,B2,P2,F5,9.890595621212121,5
P1,B2,P2,A6,7.627282518939395,5
P1,B2,P2,B6,7.627282518939395,5
P1,B2,P2,C6,7.627282518939395,5
P1,B2,P2,D6,10.057016738636364,5
P1,B2,P2,E6,10.057016738636364,5
P1,B2,P2,F6,10.057016738636364,5
P1,B2,P2,A7,9.813656189393939,5
P1,B2,P2,B7,9.813656189393939,5
P1,B2,P2,C7,9.813656189393939,5
P1,B2,P2,D7,8.043114227272728,5
P1,B2,P2,E7,8.043114227272728,5
P1,B2,P2,F7,8.043114227272728,5
P1,B2,P2,A8,11.785813443181818,5
P1,B2,P2,B8,11.785813443181818,5
P1,B2,P2,C8,11.785813443181818,5
P1,B2,P2,D8,5.28477809469697,5
P1,B2,P2,E8,5.28477809469697,5
P1,B2,P2,F8,5.28477809469697,5
P5,B1,P2,A2,10.8373,5
P5,B1,P2,B2,10.8373,5
P5,B1,P2,C2,10.8373,5
P5,B1,P2,D2,19.50197,5
P5,B1,P2,E2,19.50197,5
P5,B1,P2,F2,19.50197,5
P5,B1,P2,A3,19.50176,5
P5,B1,P2,B3,19.50176,5
P5,B1,P2,C3,19.50176,5
P5,B1,P2,D3,19.461745,5
P5,B1,P2,E3,19.461745,5
P5,B1,P2,F3,19.461745,5
P5,B1,P2,A4,9.13965,5
P5,B1,P2,B4,9.13965,5
P5,B1,P2,C4,9.13965,5
P5,C1,P2,D4,9.452545999999998,5
P5,C1,P2,E4,9.452545999999998,5
P5,C1,P2,F4,9.452545999999998,5
P5,C1,P2,A5,9.72595475,5
P5,C1,P2,B5,9.72595475,5
P5,C1,P2,C5,9.72595475,5
P5,C1,P2,D5,9.727786250000001,5
P5,C1,P2,E5,9.727786250000001,5
P5,C1,P2,F5,9.727786250000001,5
P5,C1,P2,A6,11.6095695,5
P5,C1,P2,B6,11.6095695,5
P5,C1,P2,C6,11.6095695,5
P5,C1,P2,D6,12.0156355,5
P5,C1,P2,E6,12.0156355,5
P5,C1,P2,F6,12.0156355,5
P5,C1,P2,A7,8.738069,5
P5,C1,P2,B7,8.738069,5
P5,C1,P2,C7,8.738069,5
P5,C1,P2,D7,12.29165075,5
P5,C1,P2,E7,12.29165075,5
P5,C1,P2,F7,12.29165075,5
P5,C1,P2,A8,12.506548249999998,5
P5,C1,P2,B8,12.506548249999998,5
P5,C1,P2,C8,12.506548249999998,5
P1,D2,P2,A1,10.497725684210526,5
P1,D2,P2,B1,10.497725684210526,5
P1,D2,P2,C1,10.497725684210526,5
P1,D2,P2,D1,10.680854478947369,5
P1,D2,P2,E1,10.680854478947369,5
P1,D2,P2,F1,10.680854478947369,5
P1,D2,P2,A2,10.673872263157895,5
P1,D2,P2,B2,10.673872263157895,5
P1,D2,P2,C2,10.673872263157895,5
P1,D2,P2,D2,13.18689302368421,5
P1,D2,P2,E2,13.18689302368421,5
P1,D2,P2,F2,13.18689302368421,5
P1,D2,P2,A3,13.18689302368421,5
P1,D2,P2,B3,13.18689302368421,5
P1,D2,P2,C3,13.18689302368421,5
P1,D2,P2,D3,13.186893015789472,5
P1,D2,P2,E3,13.186893015789472,5
P1,D2,P2,F3,13.186893015789472,5
P1,D2,P2,A4,13.677861797368422,5
P1,D2,P2,B4,13.677861797368422,5
P1,D2,P2,C4,13.677861797368422,5
P1,D2,P2,D4,8.372492392105263,5
P1,D2,P2,E4,8.372492392105263,5
P1,D2,P2,F4,8.372492392105263,5
P1,D2,P2,A5,9.048200865789473,5
P1,D2,P2,B5,9.048200865789473,5
P1,D2,P2,C5,9.048200865789473,5
P1,D2,P2,D5,9.351582734210526,5
P1,D2,P2,E5,9.351582734210526,5
P1,D2,P2,F5,9.351582734210526,5
P1,D2,P2,A6,9.479260563157895,5
P1,D2,P2,B6,9.479260563157895,5
P1,D2,P2,C6,9.479260563157895,5
P1,D2,P2,D6,8.748759260526317,5
P1,D2,P2,E6,8.748759260526317,5
P1,D2,P2,F6,8.748759260526317,5
P1,D2,P2,A7,8.946349736842107,5
P1,D2,P2,B7,8.946349736842107,5
P1,D2,P2,C7,8.946349736842107,5
P1,D2,P2,D7,8.557333618421053,5
P1,D2,P2,E7,8.557333618421053,5
P1,D2,P2,F7,8.557333618421053,5
P1,D2,P2,A8,9.194630455263157,5
P1,D2,P2,B8,9.194630455263157,5
P1,D2,P2,C8,9.194630455263157,5
P1,D2,P2,D8,7.710496233947368,5
P1,D2,P2,E8,7.710496233947368,5
P1,D2,P2,F8,7.710496233947368,5
P1,A3,P2,A4,18.316213846153847,5
P1,A3,P2,B4,18.316213846153847,5
P1,A3,P2,C4,18.316213846153847,5
P1,D3,P2,D4,6.582258333333334,5
P1,D3,P2,E4,6.582258333333334,5
P1,D3,P2,F4,6.582258333333334,5
P1,D3,P2,D5,5.3713999999999995,5
P1,D3,P2,E5,5.3713999999999995,5
P1,D3,P2,F5,5.3713999999999995,5
P1,D3,P2,A6,8.347833333333334,5
P1,D3,P2,B6,8.347833333333334,5
P1,D3,P2,C6,8.347833333333334,5
P1,D3,P2,A7,8.378933333333334,5
P1,D3,P2,B7,8.378933333333334,5
P1,D3,P2,C7,8.378933333333334,5
P1,D3,P2,D7,7.882558333333333,5
P1,D3,P2,E7,7.882558333333333,5
P1,D3,P2,F7,7.882558333333333,5
P1,D3,P2,A8,7.694483333333334,5
P1,D3,P2,B8,7.694483333333334,5
P1,D3,P2,C8,7.694483333333334,5
P1,A4,P2,D6,24.88145,5
P1,A4,P2,E6,24.88145,5
P1,A4,P2,F6,24.88145,5
P1,A4,P2,D7,28.116275,5
P1,A4,P2,E7,28.116275,5
P1,A4,P2,F7,28.116275,5
P1,B4,P2,A2,29.081112500000003,5
P1,B4,P2,B2,29.081112500000003,5
P1,B4,P2,C2,29.081112500000003,5
P1,B4,P2,D2,23.89926875,5
P1,B4,P2,E2,23.89926875,5
P1,B4,P2,F2,23.89926875,5
P1,B4,P2,A3,23.900134375000004,5
P1,B4,P2,B3,23.900134375000004,5
P1,B4,P2,C3,23.900134375000004,5
P1,B4,P2,D3,19.10268125,5
P1,B4,P2,E3,19.10268125,5
P1,B4,P2,F3,19.10268125,5
P1,B4,P2,A4,16.38435625,5
P1,B4,P2,B4,16.38435625,5
P1,B4,P2,C4,16.38435625,5
P1,B4,P2,A5,13.734856250000002,5
P1,B4,P2,B5,13.734856250000002,5
P1,B4,P2,C5,13.734856250000002,5
P1,B4,P2,D5,13.71065625,5
P1,B4,P2,E5,13.71065625,5
P1,B4,P2,F5,13.71065625,5
P1,B4,P2,A6,8.71251875,5
P1,B4,P2,B6,8.71251875,5
P1,B4,P2,C6,8.71251875,5
P1,B4,P2,A7,26.52533125,5
P1,B4,P2,B7,26.52533125,5
P1,B4,P2,C7,26.52533125,5
P1,B4,P2,A8,9.418321875,5
P1,B4,P2,B8,9.418321875,5
P1,B4,P2,C8,9.418321875,5
P1,C4,P2,A1,6.094225000000002,5
P1,C4,P2,B1,6.094225000000002,5
P1,C4,P2,C1,6.094225000000002,5
P1,C4,P2,D1,5.968035,5
P1,C4,P2,E1,5.968035,5
P1,C4,P2,F1,5.968035,5
P1,C4,P2,A6,7.429774999999999,5
P1,C4,P2,B6,7.429774999999999,5
P1,C4,P2,C6,7.429774999999999,5
P1,C4,P2,A7,7.728315000000001,5
P1,C4,P2,B7,7.728315000000001,5
P1,C4,P2,C7,7.728315000000001,5
P1,C4,P2,D7,5.780940000000001,5
P1,C4,P2,E7,5.780940000000001,5
P1,C4,P2,F7,5.780940000000001,5
P1,C4,P2,A8,9.36134,5
P1,C4,P2,B8,9.36134,5
P1,C4,P2,C8,9.36134,5
