,Line Name,OD340,MOPS[mM],Tricine[mM],H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],Kan[g/l],Condition,condition
33,C1_WE2_E4-R2,0.255,40.0,4.0,0.039823,20.0,2.762379,6.488607,0.005635,9.196312,1.635182,9.08179,1.2e-05,0.000286,0.0001,0.0008,0.0001,0.05,C1_WE2_E4,C1_WE2_E4
34,C1_WE2_E4-R3,0.2387,40.0,4.0,0.039823,20.0,2.762379,6.488607,0.005635,9.196312,1.635182,9.08179,1.2e-05,0.000286,0.0001,0.0008,0.0001,0.05,C1_WE2_E4,C1_WE2_E4
35,C1_WE5_E7-R1,0.3692,40.0,4.0,0.035122,20.0,0.998672,5.423431,0.06906,7.219062,1.854023,201.586871,3e-06,0.001693,0.0001,0.0008,0.0001,0.05,C1_WE5_E7,C1_WE5_E7
36,C1_WE5_E7-R2,0.4037,40.0,4.0,0.035122,20.0,0.998672,5.423431,0.06906,7.219062,1.854023,201.586871,3e-06,0.001693,0.0001,0.0008,0.0001,0.05,C1_WE5_E7,C1_WE5_E7
37,C1_WE5_E7-R3,0.3799,40.0,4.0,0.035122,20.0,0.998672,5.423431,0.06906,7.219062,1.854023,201.586871,3e-06,0.001693,0.0001,0.0008,0.0001,0.05,C1_WE5_E7,C1_WE5_E7
38,C1_WE8_F2-R1,0.1802,40.0,4.0,0.001944,20.0,1.172598,0.455551,0.008633,7.911045,5.109907,43.314029,4.5e-05,0.00231,0.0001,0.0008,0.0001,0.05,C1_WE8_F2,C1_WE8_F2
39,C1_WE8_F2-R2,0.1926,40.0,4.0,0.001944,20.0,1.172598,0.455551,0.008633,7.911045,5.109907,43.314029,4.5e-05,0.00231,0.0001,0.0008,0.0001,0.05,C1_WE8_F2,C1_WE8_F2
40,C1_WE8_F2-R3,0.181,40.0,4.0,0.001944,20.0,1.172598,0.455551,0.008633,7.911045,5.109907,43.314029,4.5e-05,0.00231,0.0001,0.0008,0.0001,0.05,C1_WE8_F2,C1_WE8_F2
41,C1_WF3_F5-R1,0.3924,40.0,4.0,0.009826,20.0,0.127493,0.542649,0.092583,12.14066,0.392871,284.78099,0.000138,0.000155,0.0001,0.0008,0.0001,0.05,C1_WF3_F5,C1_WF3_F5
42,C1_WF3_F5-R2,0.3494,40.0,4.0,0.009826,20.0,0.127493,0.542649,0.092583,12.14066,0.392871,284.78099,0.000138,0.000155,0.0001,0.0008,0.0001,0.05,C1_WF3_F5,C1_WF3_F5
43,C1_WF3_F5-R3,0.3392,40.0,4.0,0.009826,20.0,0.127493,0.542649,0.092583,12.14066,0.392871,284.78099,0.000138,0.000155,0.0001,0.0008,0.0001,0.05,C1_WF3_F5,C1_WF3_F5
44,C1_WF6_F8-R1,0.2973,40.0,4.0,0.003902,20.0,0.317207,1.312346,0.009853,9.731379,0.548221,54.873776,2.7e-05,0.000272,0.0001,0.0008,0.0001,0.05,C1_WF6_F8,C1_WF6_F8
45,C1_WF6_F8-R2,0.2982,40.0,4.0,0.003902,20.0,0.317207,1.312346,0.009853,9.731379,0.548221,54.873776,2.7e-05,0.000272,0.0001,0.0008,0.0001,0.05,C1_WF6_F8,C1_WF6_F8
46,C1_WF6_F8-R3,0.2978,40.0,4.0,0.003902,20.0,0.317207,1.312346,0.009853,9.731379,0.548221,54.873776,2.7e-05,0.000272,0.0001,0.0008,0.0001,0.05,C1_WF6_F8,C1_WF6_F8
47,C2.1_WA1_A3-R1,0.2099,40.0,4.0,0.036568,20.0,1.38806,1.010494,0.010567,13.87702,0.762363,44.602736,1.3e-05,0.000185,0.0001,0.0008,0.0001,0.05,C2.1_WA1_A3,C2.1_WA1_A3
48,C2.1_WA1_A3-R2,0.2267,40.0,4.0,0.036568,20.0,1.38806,1.010494,0.010567,13.87702,0.762363,44.602736,1.3e-05,0.000185,0.0001,0.0008,0.0001,0.05,C2.1_WA1_A3,C2.1_WA1_A3
49,C2.1_WA1_A3-R3,0.2334,40.0,4.0,0.036568,20.0,1.38806,1.010494,0.010567,13.87702,0.762363,44.602736,1.3e-05,0.000185,0.0001,0.0008,0.0001,0.05,C2.1_WA1_A3,C2.1_WA1_A3
50,C2.1_WA4_A6-R1,0.4625,40.0,4.0,0.004091,20.0,0.285941,1.114373,0.072114,8.571532,0.08034,334.835565,0.000276,6.5e-05,0.0001,0.0008,0.0001,0.05,C2.1_WA4_A6,C2.1_WA4_A6
51,C2.1_WA4_A6-R2,0.5259,40.0,4.0,0.004091,20.0,0.285941,1.114373,0.072114,8.571532,0.08034,334.835565,0.000276,6.5e-05,0.0001,0.0008,0.0001,0.05,C2.1_WA4_A6,C2.1_WA4_A6
52,C2.1_WA4_A6-R3,0.5059,40.0,4.0,0.004091,20.0,0.285941,1.114373,0.072114,8.571532,0.08034,334.835565,0.000276,6.5e-05,0.0001,0.0008,0.0001,0.05,C2.1_WA4_A6,C2.1_WA4_A6
53,C2.1_WA7_B1-R2,0.2218,40.0,4.0,0.002757,20.0,0.037187,0.568853,0.006261,11.635449,3.925519,29.412474,7e-06,0.002681,0.0001,0.0008,0.0001,0.05,C2.1_WA7_B1,C2.1_WA7_B1
54,C2.1_WA7_B1-R3,0.1616,40.0,4.0,0.002757,20.0,0.037187,0.568853,0.006261,11.635449,3.925519,29.412474,7e-06,0.002681,0.0001,0.0008,0.0001,0.05,C2.1_WA7_B1,C2.1_WA7_B1
55,C2.1_WB2_B4-R1,0.333,40.0,4.0,0.032674,20.0,0.728092,4.631595,0.003782,14.137994,0.256453,28.626215,1e-05,8.5e-05,0.0001,0.0008,0.0001,0.05,C2.1_WB2_B4,C2.1_WB2_B4
56,C2.1_WB2_B4-R2,0.3038,40.0,4.0,0.032674,20.0,0.728092,4.631595,0.003782,14.137994,0.256453,28.626215,1e-05,8.5e-05,0.0001,0.0008,0.0001,0.05,C2.1_WB2_B4,C2.1_WB2_B4
57,C2.1_WB2_B4-R3,0.2971,40.0,4.0,0.032674,20.0,0.728092,4.631595,0.003782,14.137994,0.256453,28.626215,1e-05,8.5e-05,0.0001,0.0008,0.0001,0.05,C2.1_WB2_B4,C2.1_WB2_B4
58,C2.1_WB5_B7-R1,0.5057,40.0,4.0,0.022738,20.0,0.265485,0.82967,0.008942,10.869627,0.942635,436.856031,6.8e-05,0.00207,0.0001,0.0008,0.0001,0.05,C2.1_WB5_B7,C2.1_WB5_B7
59,C2.1_WB5_B7-R2,0.5079,40.0,4.0,0.022738,20.0,0.265485,0.82967,0.008942,10.869627,0.942635,436.856031,6.8e-05,0.00207,0.0001,0.0008,0.0001,0.05,C2.1_WB5_B7,C2.1_WB5_B7
60,C2.1_WB5_B7-R3,0.5145,40.0,4.0,0.022738,20.0,0.265485,0.82967,0.008942,10.869627,0.942635,436.856031,6.8e-05,0.00207,0.0001,0.0008,0.0001,0.05,C2.1_WB5_B7,C2.1_WB5_B7
61,C2.1_WB8_C2-R2,0.563,40.0,4.0,0.027822,20.0,0.191012,3.731013,0.05201,12.821188,0.39668,461.365478,0.000151,0.001555,0.0001,0.0008,0.0001,0.05,C2.1_WB8_C2,C2.1_WB8_C2
62,C2.1_WB8_C2-R3,0.5826,40.0,4.0,0.027822,20.0,0.191012,3.731013,0.05201,12.821188,0.39668,461.365478,0.000151,0.001555,0.0001,0.0008,0.0001,0.05,C2.1_WB8_C2,C2.1_WB8_C2
63,C2.1_WC3_C5-R1,0.4308,40.0,4.0,0.011578,20.0,0.177163,1.834603,0.086358,11.758068,0.449543,199.775436,2.7e-05,3.3e-05,0.0001,0.0008,0.0001,0.05,C2.1_WC3_C5,C2.1_WC3_C5
64,C2.1_WC3_C5-R2,0.3685,40.0,4.0,0.011578,20.0,0.177163,1.834603,0.086358,11.758068,0.449543,199.775436,2.7e-05,3.3e-05,0.0001,0.0008,0.0001,0.05,C2.1_WC3_C5,C2.1_WC3_C5
65,C2.1_WC3_C5-R3,0.3863,40.0,4.0,0.011578,20.0,0.177163,1.834603,0.086358,11.758068,0.449543,199.775436,2.7e-05,3.3e-05,0.0001,0.0008,0.0001,0.05,C2.1_WC3_C5,C2.1_WC3_C5
66,C2.1_WC6_C8-R1,0.3624,40.0,4.0,0.006689,20.0,2.358695,1.30699,0.008025,9.467514,0.344166,153.566409,2.3e-05,0.000535,0.0001,0.0008,0.0001,0.05,C2.1_WC6_C8,C2.1_WC6_C8
67,C2.1_WC6_C8-R2,0.3826,40.0,4.0,0.006689,20.0,2.358695,1.30699,0.008025,9.467514,0.344166,153.566409,2.3e-05,0.000535,0.0001,0.0008,0.0001,0.05,C2.1_WC6_C8,C2.1_WC6_C8
68,C2.1_WC6_C8-R3,0.3809,40.0,4.0,0.006689,20.0,2.358695,1.30699,0.008025,9.467514,0.344166,153.566409,2.3e-05,0.000535,0.0001,0.0008,0.0001,0.05,C2.1_WC6_C8,C2.1_WC6_C8
69,C2.1_WD1_D3-R1,0.232,40.0,4.0,0.001434,20.0,0.089205,6.047767,0.039952,7.577229,4.715166,47.895483,6e-06,0.00263,0.0001,0.0008,0.0001,0.05,C2.1_WD1_D3,C2.1_WD1_D3
70,C2.1_WD1_D3-R2,0.235,40.0,4.0,0.001434,20.0,0.089205,6.047767,0.039952,7.577229,4.715166,47.895483,6e-06,0.00263,0.0001,0.0008,0.0001,0.05,C2.1_WD1_D3,C2.1_WD1_D3
71,C2.1_WD1_D3-R3,0.2305,40.0,4.0,0.001434,20.0,0.089205,6.047767,0.039952,7.577229,4.715166,47.895483,6e-06,0.00263,0.0001,0.0008,0.0001,0.05,C2.1_WD1_D3,C2.1_WD1_D3
72,C2.1_WD4_D6-R1,0.1977,40.0,4.0,0.002166,20.0,2.410881,3.296974,0.001977,7.661746,1.344683,17.89684,1.9e-05,0.002993,0.0001,0.0008,0.0001,0.05,C2.1_WD4_D6,C2.1_WD4_D6
73,C2.1_WD4_D6-R2,0.209,40.0,4.0,0.002166,20.0,2.410881,3.296974,0.001977,7.661746,1.344683,17.89684,1.9e-05,0.002993,0.0001,0.0008,0.0001,0.05,C2.1_WD4_D6,C2.1_WD4_D6
74,C2.1_WD4_D6-R3,0.2171,40.0,4.0,0.002166,20.0,2.410881,3.296974,0.001977,7.661746,1.344683,17.89684,1.9e-05,0.002993,0.0001,0.0008,0.0001,0.05,C2.1_WD4_D6,C2.1_WD4_D6
75,C2.1_WD7_E1-R1,0.2123,40.0,4.0,0.023218,20.0,1.833869,4.043351,0.048299,6.919004,0.113379,6.267644,9.3e-05,0.00094,0.0001,0.0008,0.0001,0.05,C2.1_WD7_E1,C2.1_WD7_E1
76,C2.1_WD7_E1-R2,0.2296,40.0,4.0,0.023218,20.0,1.833869,4.043351,0.048299,6.919004,0.113379,6.267644,9.3e-05,0.00094,0.0001,0.0008,0.0001,0.05,C2.1_WD7_E1,C2.1_WD7_E1
77,C2.1_WD7_E1-R3,0.2258,40.0,4.0,0.023218,20.0,1.833869,4.043351,0.048299,6.919004,0.113379,6.267644,9.3e-05,0.00094,0.0001,0.0008,0.0001,0.05,C2.1_WD7_E1,C2.1_WD7_E1
78,C2.1_WE2_E4-R1,0.2389,40.0,4.0,0.016874,20.0,0.857309,1.047441,0.001424,11.39946,0.460671,24.761139,0.000163,0.000206,0.0001,0.0008,0.0001,0.05,C2.1_WE2_E4,C2.1_WE2_E4
79,C2.1_WE2_E4-R2,0.3523,40.0,4.0,0.016874,20.0,0.857309,1.047441,0.001424,11.39946,0.460671,24.761139,0.000163,0.000206,0.0001,0.0008,0.0001,0.05,C2.1_WE2_E4,C2.1_WE2_E4
80,C2.1_WE2_E4-R3,0.3565,40.0,4.0,0.016874,20.0,0.857309,1.047441,0.001424,11.39946,0.460671,24.761139,0.000163,0.000206,0.0001,0.0008,0.0001,0.05,C2.1_WE2_E4,C2.1_WE2_E4
81,C2.1_WE5_E7-R1,0.2015,40.0,4.0,0.000541,20.0,0.059159,0.958734,0.078792,8.342812,0.223877,37.097691,0.000175,0.00017,0.0001,0.0008,0.0001,0.05,C2.1_WE5_E7,C2.1_WE5_E7
82,C2.1_WE5_E7-R2,0.1798,40.0,4.0,0.000541,20.0,0.059159,0.958734,0.078792,8.342812,0.223877,37.097691,0.000175,0.00017,0.0001,0.0008,0.0001,0.05,C2.1_WE5_E7,C2.1_WE5_E7
83,C2.1_WE5_E7-R3,0.2239,40.0,4.0,0.000541,20.0,0.059159,0.958734,0.078792,8.342812,0.223877,37.097691,0.000175,0.00017,0.0001,0.0008,0.0001,0.05,C2.1_WE5_E7,C2.1_WE5_E7
84,C2.1_WE8_F2-R1,0.1379,40.0,4.0,0.014423,20.0,2.144712,0.277507,0.00658,9.744104,4.010952,123.800176,1.6e-05,6.8e-05,0.0001,0.0008,0.0001,0.05,C2.1_WE8_F2,C2.1_WE8_F2
85,C2.1_WE8_F2-R2,0.1209,40.0,4.0,0.014423,20.0,2.144712,0.277507,0.00658,9.744104,4.010952,123.800176,1.6e-05,6.8e-05,0.0001,0.0008,0.0001,0.05,C2.1_WE8_F2,C2.1_WE8_F2
86,C2.1_WE8_F2-R3,0.1227,40.0,4.0,0.014423,20.0,2.144712,0.277507,0.00658,9.744104,4.010952,123.800176,1.6e-05,6.8e-05,0.0001,0.0008,0.0001,0.05,C2.1_WE8_F2,C2.1_WE8_F2
87,C2.1_WF3_F5-R1,0.4687,40.0,4.0,0.001315,20.0,1.641906,2.76205,0.031787,13.428046,0.516091,251.160635,0.000222,0.000123,0.0001,0.0008,0.0001,0.05,C2.1_WF3_F5,C2.1_WF3_F5
88,C2.1_WF3_F5-R2,0.456,40.0,4.0,0.001315,20.0,1.641906,2.76205,0.031787,13.428046,0.516091,251.160635,0.000222,0.000123,0.0001,0.0008,0.0001,0.05,C2.1_WF3_F5,C2.1_WF3_F5
89,C2.1_WF3_F5-R3,0.4596,40.0,4.0,0.001315,20.0,1.641906,2.76205,0.031787,13.428046,0.516091,251.160635,0.000222,0.000123,0.0001,0.0008,0.0001,0.05,C2.1_WF3_F5,C2.1_WF3_F5
90,C2.1_WF6_F8-R1,0.2537,40.0,4.0,0.00435,20.0,0.316635,1.373984,0.009343,9.152222,0.515452,52.58102,3.1e-05,0.000325,0.0001,0.0008,0.0001,0.05,C2.1_WF6_F8,C2.1_WF6_F8
91,C2.1_WF6_F8-R3,0.2794,40.0,4.0,0.00435,20.0,0.316635,1.373984,0.009343,9.152222,0.515452,52.58102,3.1e-05,0.000325,0.0001,0.0008,0.0001,0.05,C2.1_WF6_F8,C2.1_WF6_F8
92,C3.1_WA1_C1-R1,0.5093,40.0,4.0,0.002768,20.0,0.29569,11.653411,0.01511,13.297119,0.451467,427.961444,2.8e-05,0.003668,0.004136,0.012464,0.001219,0.05,C3.1_WA1_C1,C3.1_WA1_C1
93,C3.1_WA1_C1-R2,0.4785,40.0,4.0,0.002768,20.0,0.29569,11.653411,0.01511,13.297119,0.451467,427.961444,2.8e-05,0.003668,0.004136,0.012464,0.001219,0.05,C3.1_WA1_C1,C3.1_WA1_C1
94,C3.1_WA1_C1-R3,0.4685,40.0,4.0,0.002768,20.0,0.29569,11.653411,0.01511,13.297119,0.451467,427.961444,2.8e-05,0.003668,0.004136,0.012464,0.001219,0.05,C3.1_WA1_C1,C3.1_WA1_C1
95,C3.1_WA2_C2-R1,0.4547,40.0,4.0,0.000592,20.0,0.231622,11.606334,0.002167,13.520238,0.474551,378.398033,0.000531,0.005309,0.003655,0.009306,0.00041,0.05,C3.1_WA2_C2,C3.1_WA2_C2
96,C3.1_WA2_C2-R2,0.4378,40.0,4.0,0.000592,20.0,0.231622,11.606334,0.002167,13.520238,0.474551,378.398033,0.000531,0.005309,0.003655,0.009306,0.00041,0.05,C3.1_WA2_C2,C3.1_WA2_C2
97,C3.1_WA2_C2-R3,0.4529,40.0,4.0,0.000592,20.0,0.231622,11.606334,0.002167,13.520238,0.474551,378.398033,0.000531,0.005309,0.003655,0.009306,0.00041,0.05,C3.1_WA2_C2,C3.1_WA2_C2
98,C3.1_WA3_C3-R1,0.4577,40.0,4.0,0.011245,20.0,0.383651,11.84289,0.0039,16.703398,0.336866,394.461806,0.000363,0.005283,0.004518,0.007648,0.000155,0.05,C3.1_WA3_C3,C3.1_WA3_C3
99,C3.1_WA3_C3-R2,0.436,40.0,4.0,0.011245,20.0,0.383651,11.84289,0.0039,16.703398,0.336866,394.461806,0.000363,0.005283,0.004518,0.007648,0.000155,0.05,C3.1_WA3_C3,C3.1_WA3_C3
100,C3.1_WA3_C3-R3,0.4571,40.0,4.0,0.011245,20.0,0.383651,11.84289,0.0039,16.703398,0.336866,394.461806,0.000363,0.005283,0.004518,0.007648,0.000155,0.05,C3.1_WA3_C3,C3.1_WA3_C3
101,C3.1_WA4_C4-R1,0.455,40.0,4.0,0.020379,20.0,0.401176,9.667337,0.001828,17.325292,0.190489,392.402862,3e-05,0.004229,0.002831,0.005243,0.000487,0.05,C3.1_WA4_C4,C3.1_WA4_C4
102,C3.1_WA4_C4-R2,0.4628,40.0,4.0,0.020379,20.0,0.401176,9.667337,0.001828,17.325292,0.190489,392.402862,3e-05,0.004229,0.002831,0.005243,0.000487,0.05,C3.1_WA4_C4,C3.1_WA4_C4
103,C3.1_WA4_C4-R3,0.4836,40.0,4.0,0.020379,20.0,0.401176,9.667337,0.001828,17.325292,0.190489,392.402862,3e-05,0.004229,0.002831,0.005243,0.000487,0.05,C3.1_WA4_C4,C3.1_WA4_C4
104,C3.1_WA5_C5-R1,0.4129,40.0,4.0,0.013112,20.0,0.683223,2.519443,0.038904,11.461054,0.473881,357.594336,2.3e-05,0.000598,0.003273,0.004395,0.000531,0.05,C3.1_WA5_C5,C3.1_WA5_C5
105,C3.1_WA5_C5-R2,0.5492,40.0,4.0,0.013112,20.0,0.683223,2.519443,0.038904,11.461054,0.473881,357.594336,2.3e-05,0.000598,0.003273,0.004395,0.000531,0.05,C3.1_WA5_C5,C3.1_WA5_C5
106,C3.1_WA6_C6-R1,0.4325,40.0,4.0,0.01178,20.0,0.484447,2.013603,0.046438,12.007063,0.445981,358.139522,3.9e-05,0.001002,0.002718,0.002788,0.001486,0.05,C3.1_WA6_C6,C3.1_WA6_C6
107,C3.1_WA6_C6-R2,0.5383,40.0,4.0,0.01178,20.0,0.484447,2.013603,0.046438,12.007063,0.445981,358.139522,3.9e-05,0.001002,0.002718,0.002788,0.001486,0.05,C3.1_WA6_C6,C3.1_WA6_C6
108,C3.1_WA6_C6-R3,0.4512,40.0,4.0,0.01178,20.0,0.484447,2.013603,0.046438,12.007063,0.445981,358.139522,3.9e-05,0.001002,0.002718,0.002788,0.001486,0.05,C3.1_WA6_C6,C3.1_WA6_C6
109,C3.1_WA7_C7-R1,0.4275,40.0,4.0,0.010452,20.0,0.682172,2.590805,0.034952,11.332043,0.470517,378.769046,2.4e-05,0.001005,0.00391,0.008488,0.001546,0.05,C3.1_WA7_C7,C3.1_WA7_C7
110,C3.1_WA7_C7-R2,0.5566,40.0,4.0,0.010452,20.0,0.682172,2.590805,0.034952,11.332043,0.470517,378.769046,2.4e-05,0.001005,0.00391,0.008488,0.001546,0.05,C3.1_WA7_C7,C3.1_WA7_C7
111,C3.1_WA7_C7-R3,0.586,40.0,4.0,0.010452,20.0,0.682172,2.590805,0.034952,11.332043,0.470517,378.769046,2.4e-05,0.001005,0.00391,0.008488,0.001546,0.05,C3.1_WA7_C7,C3.1_WA7_C7
112,C3.1_WA8_C8-R1,0.4518,40.0,4.0,0.011408,20.0,0.724763,3.111455,0.050026,11.646532,0.449883,313.438848,2.8e-05,0.000923,0.005971,0.003014,0.001872,0.05,C3.1_WA8_C8,C3.1_WA8_C8
